Activity Type,Date,Time_Of_Day,Country,State,Environment,Title,Distance (Km),Calories,Duration,Avg HR
Cycling,4/29/2023,8:47:07 AM,New_Zealand,Lake_Pukaki,Virtual,Lake Pukaki | New Zealand,41.92,792,1:35:19,149
Cycling,4/25/2023,6:35:33 PM,USA,Texas,Outdoor,Frisco Cycling,53.45,"1,424",1:54:58,148
Cycling,4/22/2023,12:36:37 PM,USA,Texas,Outdoor,Frisco Cycling,8.34,249,0:20:11,148
Cycling,4/22/2023,7:32:06 AM,USA,Texas,Outdoor,Frisco Cycling,120.72,"3,036",4:20:58,153
Running,4/19/2023,12:32:52 PM,USA,Texas,Outdoor,Denton County - Pre-Race Workout,3.09,296,0:29:08,132
Cycling,4/18/2023,6:34:00 PM,USA,Texas,Outdoor,Frisco Cycling,52.82,"1,428",1:46:17,157
Cycling,4/17/2023,12:20:26 PM,USA,Texas,Outdoor,Denton County Cycling,41.11,"1,175",1:34:38,155
Paddleboarding,4/15/2023,3:40:01 PM,USA,Texas,Outdoor,Denton County Stand Up Paddleboarding,0.96,131,0:20:25,105
Running,4/13/2023,11:18:57 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,5.95,608,0:51:53,139
Cycling,4/11/2023,6:35:02 PM,USA,Texas,Outdoor,Frisco Cycling,51.04,"1,292",1:51:08,150
Running,4/11/2023,7:58:34 AM,USA,Texas,Outdoor,Denton County - Drill Workout,3.23,325,0:26:13,143
Running,4/10/2023,4:24:48 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3.11,297,0:29:05,127
Cycling,4/9/2023,8:05:57 AM,Greece,Athens,Virtual,Athens Riviera | The Greek seaside paradise,31.47,599,1:16:45,148
Cycling,4/6/2023,6:05:26 PM,USA,Texas,Outdoor,Denton County Cycling,16.67,510,0:43:48,144
Running,4/6/2023,11:50:28 AM,USA,Texas,Outdoor,Denton County - Magic Mile,4.01,402,0:34:53,135
Cycling,4/5/2023,2:26:55 PM,New_Zealand,Lake_Pukaki,Virtual,Lake Pukaki | New Zealand,19.91,360,0:49:52,140
Cycling,4/5/2023,2:23:36 PM,USA,Texas,Virtual,Cairns | Palm Cove - Craiglie,0.09,2,0:00:31,104
Walking,4/4/2023,11:27:42 AM,USA,Texas,Outdoor,Denton County Walking,0.52,46,06:23.6,116
Running,4/4/2023,11:00:54 AM,USA,Texas,Outdoor,Denton County - Drill Workout,3.05,302,0:25:52,136
Running,4/2/2023,9:38:09 AM,USA,Texas,Outdoor,Denton County - Drill Workout,3.18,313,0:29:04,140
Cycling,4/2/2023,8:45:39 AM,USA,Hawaii,Virtual,Hawaii | Queen Ka'ahumanu Highway 56km,21.44,369,0:45:19,153
Cycling,4/1/2023,5:59:03 AM,Brazil,Rio_De_Janeiro,Virtual,Rio de Janeiro - Copacabana,16.41,290,0:35:21,--
Running,3/30/2023,11:56:38 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,5.48,552,0:49:24,139
Walking,3/30/2023,11:47:28 AM,USA,Texas,Outdoor,Denton County Walking,0.8,77,08:46.8,97
Running,3/29/2023,4:01:44 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.75,269,0:25:04,130
Cycling,3/25/2023,12:13:11 PM,USA,Texas,Outdoor,Denton County Cycling,3.16,114,08:05.8,160
Cycling,3/25/2023,7:04:59 AM,USA,Texas,Outdoor,Denton County Cycling,102.31,"2,854",3:49:03,155
Running,3/23/2023,10:52:12 AM,USA,Texas,Outdoor,Denton County - Run,4.97,525,0:44:15,141
Running,3/21/2023,3:25:34 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3.36,317,0:29:13,141
Cycling,3/19/2023,11:35:15 AM,South_Africa,Cape_Town,Virtual,Clarence Drive | Whale Coast Route | 15km,15.26,351,0:43:46,136
Cycling,3/18/2023,9:49:09 AM,New_Zealand,Lake_Coleridge,Virtual,Lake Coleridge - New Zealand,19.8,274,0:33:49,145
Cycling,3/18/2023,9:38:55 AM,USA,Texas,Virtual,ROUVY Tutorial ride,3.2,56,0:07:41,119
Cycling,3/17/2023,9:23:44 AM,Virtual,Watopia,Virtual,Zwift - Group Ride: Tour of Watopia 2023 | Stage 2 | Standard Route on Out And Back Again in Watopia,20.87,485,1:03:56,139
Running,3/16/2023,10:05:45 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,4.93,491,0:43:08,138
Running,3/12/2023,3:09:37 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3.22,305,0:29:13,128
Cycling,3/11/2023,10:20:01 AM,Virtual,Watopia,Virtual,Zwift - Tick Tock in Watopia,17.08,291,0:40:05,155
Cycling,3/11/2023,9:21:40 AM,Virtual,Watopia,Virtual,Zwift - Group Ride: Tour of Watopia 2023 | Stage 1 | Long Route on Triple Flat Loops in Watopia,20.04,393,0:43:06,162
Running,3/9/2023,11:53:43 AM,USA,Texas,Outdoor,Denton County - Run,3.83,374,0:33:42,130
Cycling,3/8/2023,2:15:10 PM,Virtual,Watopia,Virtual,Zwift - Eastern Eight in Watopia,14.41,295,0:35:30,156
Running,3/7/2023,1:14:30 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.72,249,0:25:02,127
Running,3/4/2023,8:11:57 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,3.79,364,0:33:59,134
Cycling,3/1/2023,1:42:51 PM,Virtual,Watopia,Virtual,Zwift - Eastern Eight in Watopia,14.37,284,0:36:05,151
Walking,2/28/2023,1:01:05 PM,USA,Texas,Outdoor,Denton County Walking,3.13,282,0:36:32,121
Running,2/28/2023,12:04:37 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3.09,287,0:26:07,136
Running,2/25/2023,3:58:44 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.97,278,0:24:52,137
Running,2/23/2023,11:35:18 AM,USA,Texas,Outdoor,Denton County - Run,2.8,268,0:23:03,133
Walking,2/21/2023,2:11:45 PM,USA,Texas,Outdoor,Denton County Walking,1.37,126,0:16:09,118
Running,2/21/2023,1:49:19 PM,USA,Texas,Outdoor,Denton County - Drill Workout,1.96,184,0:22:07,122
Cycling,2/21/2023,11:04:14 AM,Virtual,Watopia,Virtual,Zwift - Sand And Sequoias in Watopia,7.87,130,0:16:07,158
Cycling,2/21/2023,10:33:26 AM,Virtual,Watopia,Virtual,Zwift - Downtown Titans in Watopia,6.21,156,0:29:51,125
Cycling,2/20/2023,9:11:27 AM,Virtual,Watopia,Virtual,Zwift - Eastern Eight in Watopia,14.67,314,0:39:43,140
Running,2/18/2023,10:07:09 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.39,228,0:22:03,127
Cycling,2/16/2023,1:05:11 PM,Virtual,Watopia,Virtual,Zwift - Greatest London Flat in London,24.17,466,0:57:15,151
Cycling,2/15/2023,8:07:20 AM,Virtual,Watopia,Virtual,Zwift - Roule Ma Poule in France,7.87,212,0:25:43,157
Walking,2/14/2023,2:30:14 PM,USA,Texas,Outdoor,Denton County Walking,0.52,47,06:39.7,104
Running,2/14/2023,2:07:37 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.02,183,0:22:23,103
Running,2/11/2023,8:55:27 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.14,217,0:22:05,130
Running,2/10/2023,7:51:54 AM,USA,Texas,Outdoor,Denton County - Benchmark Run,1.12,112,0:09:00,150
Cycling,2/9/2023,2:35:16 PM,USA,Texas,Outdoor,Denton County Cycling,13.81,278,0:37:12,160
Cycling,2/9/2023,2:32:35 PM,Virtual,Watopia,Virtual,Zwift - Climber s Gambit in Watopia,11.93,270,0:39:55,37
Walking,2/5/2023,4:02:43 PM,USA,Texas,Outdoor,Grapevine Walking,0.59,80,0:12:33,103
Cycling,2/3/2023,12:22:09 PM,USA,Texas,Outdoor,Denton County - Fitness Test (3 Min. + 10 Min.),0,101,0:14:57,126
Cycling,2/3/2023,12:21:03 PM,Virtual,Watopia,Virtual,Zwift - Twilight Harbor in Makuri Islands,5.99,101,0:15:41,--
Cycling,1/31/2023,10:11:30 PM,Virtual,Watopia,Virtual,Zwift - Miracle in London,2.22,34,0:12:50,--
Cycling,1/31/2023,9:47:02 PM,Virtual,Watopia,Virtual,Zwift - Fit & Fun in Watopia,5.56,98,0:22:05,--
Cycling,1/30/2023,1:01:23 PM,Virtual,Watopia,Virtual,Zwift - Group Ride: The HERD Kickstart (D) on Figure 8 Reverse in Watopia,4.32,114,0:12:04,--
Walking,1/12/2023,11:04:01 AM,USA,Texas,Outdoor,Denton County Walking,2.23,204,0:26:53,115
Walking,1/2/2023,3:34:04 PM,USA,Texas,Outdoor,Denton County Walking,0.66,68,0:12:22,90
Yoga,1/1/2023,10:37:47 AM,USA,Texas,Indoor,Yoga,--,111,0:54:41,78
Yoga,12/31/2022,2:23:27 PM,USA,Texas,Indoor,Yoga,--,135,0:46:15,92
Cycling,12/8/2022,11:21:21 AM,USA,Texas,Outdoor,McKinney Cycling,38.28,"1,407",1:38:05,167
Walking,11/24/2022,4:37:04 PM,USA,Texas,Indoor,Bay Lake Walking,0.42,56,0:11:16,100
Running,11/8/2022,6:59:04 PM,USA,Redmond,Outdoor,Bellevue Running,0.14,20,02:49.5,116
Walking,11/8/2022,4:19:11 PM,USA,Redmond,Outdoor,Redmond Walking,1.62,186,0:29:17,111
Walking,11/8/2022,6:36:32 AM,USA,Texas,Outdoor,Walking,0.38,66,0:12:53,99
Walking,10/31/2022,6:08:28 PM,USA,Texas,Outdoor,McKinney Walking,0.75,105,0:22:42,96
Walking,10/30/2022,3:11:50 PM,USA,Texas,Outdoor,Dallas Walking,0.69,81,0:16:26,99
Walking,10/8/2022,4:03:31 PM,USA,Texas,Outdoor,Van Zandt County Walking,0.47,74,0:13:07,110
Walking,9/23/2022,8:07:58 PM,USA,Texas,Outdoor,Plano Walking,0.6,94,0:12:04,129
Cycling,9/23/2022,3:42:18 PM,USA,Texas,Outdoor,McKinney Cycling,22.11,746,0:48:31,163
Paddleboarding,9/17/2022,2:55:12 PM,USA,Texas,Outdoor,Denton County SUP,1.2,154,0:34:30,97
Running,9/9/2022,2:38:53 PM,USA,Texas,Outdoor,McKinney - Drill Workout,5.16,473,0:45:34,140
Running,9/8/2022,8:27:58 AM,USA,Texas,Outdoor,McKinney - Drill Workout,3.47,313,0:30:33,140
Walking,9/5/2022,8:32:05 AM,USA,Texas,Outdoor,McKinney Walking,0.43,55,08:15.5,112
Running,9/5/2022,7:43:14 AM,USA,Texas,Outdoor,McKinney - Run Walk Run®,4.81,446,0:44:38,128
Walking,9/2/2022,3:19:27 PM,USA,Texas,Outdoor,McKinney Walking,1.85,158,0:19:57,124
Running,9/2/2022,2:49:35 PM,USA,Texas,Outdoor,McKinney - Drill Workout,3.56,315,0:29:28,134
Walking,9/1/2022,9:43:48 AM,USA,Texas,Outdoor,McKinney Walking,2.57,225,0:34:28,105
Walking,8/30/2022,2:37:42 PM,USA,Texas,Outdoor,McKinney Walking,3.11,268,0:38:16,110
Walking,8/28/2022,1:59:17 PM,USA,Texas,Outdoor,McKinney Walking,2.27,260,0:35:32,128
Running,8/28/2022,1:20:51 PM,USA,Texas,Outdoor,McKinney - Run,3.67,341,0:35:05,135
Running,8/26/2022,7:52:58 AM,USA,Texas,Outdoor,McKinney - Drill Workout,3.11,265,0:26:56,144
Running,8/25/2022,7:31:56 AM,USA,Texas,Outdoor,McKinney - Drill Workout,2.74,252,0:25:02,137
Walking,8/23/2022,11:24:15 AM,USA,Texas,Outdoor,McKinney Walking,1.65,150,0:19:09,115
Running,8/23/2022,10:48:29 AM,USA,Texas,Outdoor,McKinney - Run Walk Run®,3.74,362,0:33:50,134
Walking,8/19/2022,10:13:02 AM,USA,Texas,Outdoor,McKinney Walking,0.53,54,08:21.2,114
Running,8/19/2022,9:45:35 AM,USA,Texas,Outdoor,McKinney - Drill Workout,2.84,285,0:26:01,143
Running,8/17/2022,8:14:36 AM,USA,Texas,Outdoor,McKinney - Drill Workout,2.68,247,0:25:06,134
Walking,8/14/2022,9:53:43 AM,USA,Texas,Outdoor,McKinney Walking,1.18,199,0:46:02,93
Walking,8/11/2022,12:21:41 PM,USA,Texas,Outdoor,McKinney Walking,1.28,119,0:15:00,132
Running,8/11/2022,11:58:34 AM,USA,Texas,Outdoor,McKinney - Drill Workout,2.29,217,0:22:04,140
Walking,8/7/2022,6:28:42 PM,USA,Texas,Outdoor,McKinney Walking,1.23,134,0:18:21,130
Running,8/7/2022,5:59:27 PM,USA,Texas,Outdoor,McKinney - Run Walk Run®,2.64,251,0:26:19,139
Walking,8/3/2022,1:07:34 PM,USA,Texas,Outdoor,McKinney Walking,1.84,183,0:24:44,124
Running,8/3/2022,12:56:09 PM,USA,Texas,Outdoor,McKinney - Benchmark Run,1.09,117,0:09:00,--
Running,7/21/2022,1:58:20 PM,USA,Texas,Outdoor,McKinney Running,4.03,397,0:39:12,142
Cycling,7/18/2022,10:36:16 AM,USA,Texas,Outdoor,McKinney Cycling,34.55,"1,203",1:23:52,154
Cycling,7/18/2022,10:36:15 AM,USA,Texas,Outdoor,McKinney - Zone 2 Aerobic,34.69,"1,132",1:29:25,152
Cycling,7/9/2022,6:26:24 AM,USA,Texas,Outdoor,Collin County Cycling,71.2,"2,333",2:46:30,160
Running,7/8/2022,10:42:30 AM,USA,Texas,Outdoor,McKinney Running,4.25,390,0:41:21,129
Cycling,7/6/2022,7:13:13 PM,USA,Texas,Outdoor,Frisco Cycling,40.05,"1,228",1:32:40,160
Cycling,7/6/2022,7:12:28 PM,USA,Texas,Outdoor,Frisco Cycling,40.18,"1,385",1:33:11,160
Walking,7/6/2022,9:27:00 AM,USA,Texas,Outdoor,McKinney Walking,4.16,390,0:52:16,108
Running,7/4/2022,1:10:19 PM,USA,Texas,Outdoor,McKinney Running,3.39,326,0:32:06,138
Running,7/3/2022,8:35:44 AM,USA,Texas,Outdoor,McKinney Running,5.7,492,0:57:44,132
Cycling,6/25/2022,7:21:26 AM,USA,Texas,Outdoor,Frisco Cycling,66.05,"1,929",2:34:54,155
Cycling,6/25/2022,7:19:27 AM,USA,Texas,Outdoor,Frisco Cycling,65.83,"2,137",2:35:27,155
Cycling,6/22/2022,7:28:10 PM,USA,Texas,Outdoor,Frisco Cycling,39.8,"1,334",1:28:49,160
Cycling,6/18/2022,8:54:12 AM,USA,Texas,Outdoor,McKinney Cycling,35.94,"1,311",1:18:52,169
Cycling,6/15/2022,12:21:29 PM,USA,Texas,Outdoor,McKinney Cycling,23.28,864,0:53:56,165
Walking,6/14/2022,10:42:37 AM,USA,Texas,Outdoor,McKinney Walking,2.92,261,0:34:57,108
Yoga,6/2/2022,8:31:38 PM,USA,Texas,Indoor,Yoga,--,206,1:28:31,75
Running,5/27/2022,12:50:05 PM,USA,Texas,Outdoor,McKinney Running,4.11,371,0:39:53,128
Yoga,5/25/2022,8:23:27 PM,USA,Texas,Indoor,Yoga,--,130,0:40:33,86
Yoga,5/24/2022,8:18:23 PM,USA,Texas,Indoor,Yoga,--,42,0:22:41,69
Breathwork,5/24/2022,8:02:13 PM,USA,Texas,Indoor,Relax and Focus,--,--,0:15:38,68
Breathwork,5/23/2022,8:03:31 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,68
Walking,5/23/2022,2:59:08 PM,USA,Texas,Outdoor,McKinney Walking,3.95,346,0:48:08,101
Yoga,5/22/2022,8:54:57 PM,USA,Texas,Indoor,Yoga,--,69,0:40:15,64
Running,5/22/2022,8:15:14 AM,USA,Texas,Outdoor,McKinney Running - Z2 HR training,5.25,495,0:45:52,129
Running,5/20/2022,10:01:41 AM,USA,Texas,Outdoor,McKinney Running - Z2 and Vitamin D,3.35,308,0:32:31,127
Cycling,5/15/2022,6:58:25 AM,USA,Texas,Outdoor,Fort Worth Cycling,79.92,"2,258",2:57:01,153
Cycling,5/15/2022,6:50:54 AM,USA,Texas,Outdoor,Fort Worth Cycling,80.18,"1,954",2:57:02,153
Cycling,5/14/2022,7:01:22 AM,USA,Texas,Outdoor,Frisco Cycling,166.47,"4,285",6:35:04,162
Cycling,5/14/2022,5:46:40 AM,USA,Texas,Outdoor,McKinney Cycling,188,"5,670",7:25:24,160
Walking,5/13/2022,1:23:00 PM,USA,Texas,Outdoor,Walking,0.41,60,0:11:26,92
Yoga,5/12/2022,9:38:22 PM,USA,Texas,Indoor,Yoga,--,38,0:24:12,62
Breathwork,5/12/2022,8:22:16 PM,USA,Texas,Indoor,Relax and Focus,--,--,0:15:38,69
Breathwork,5/11/2022,9:23:51 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,75
Cycling,5/11/2022,4:22:00 PM,USA,Texas,Outdoor,McKinney Cycling,25.4,782,0:55:24,154
Cycling,5/11/2022,2:52:26 PM,USA,Texas,Outdoor,McKinney Cycling,0,--,00:13.8,78
Breathwork,5/11/2022,2:50:29 PM,USA,Texas,Indoor,Tranquility,--,--,01:37.2,77
Breathwork,5/10/2022,8:15:18 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,70
Cycling,5/10/2022,1:31:30 PM,USA,Texas,Outdoor,McKinney - Zone 2 Aerobic,25.36,743,1:06:58,135
Cycling,5/10/2022,1:31:26 PM,USA,Texas,Outdoor,McKinney - Zone 2 Aerobic,22.9,672,1:00:00,135
Walking,5/9/2022,10:53:31 AM,USA,Texas,Outdoor,McKinney Walking,5.12,429,0:56:18,97
Walking,5/8/2022,9:45:39 AM,USA,Texas,Outdoor,McKinney Walking,3.17,291,1:02:03,84
Cycling,5/6/2022,11:40:39 AM,USA,Texas,Outdoor,McKinney Cycling,61.86,"1,866",2:23:49,150
Cycling,5/6/2022,11:40:38 AM,USA,Texas,Outdoor,McKinney - Zone 2 Aerobic,62.24,"1,915",2:27:04,150
Cycling,5/3/2022,6:32:45 PM,USA,Texas,Outdoor,Frisco Cycling,46.04,"1,187",1:39:10,148
Cycling,5/1/2022,7:32:46 AM,USA,Texas,Outdoor,Frisco - Zone 2 Aerobic,55.06,"1,612",2:06:41,147
Running,4/30/2022,8:55:47 AM,USA,Texas,Outdoor,McKinney Running - Z2 training ,3.8,355,0:35:19,130
Cycling,4/26/2022,6:31:36 PM,USA,Texas,Outdoor,Frisco - Zone 2 Aerobic,49.02,"1,391",1:48:42,158
Cycling,4/24/2022,8:59:19 AM,USA,Texas,Outdoor,McKinney - Zone 2 Aerobic,48.51,"1,331",2:00:00,152
Cycling,4/21/2022,3:58:53 PM,USA,Texas,Outdoor,McKinney - Zone 2 Aerobic,24.19,633,1:00:00,144
Cycling,4/20/2022,2:46:35 PM,USA,Texas,Outdoor,McKinney - Short Zone 5 Intervals,19.78,447,0:54:27,130
Running,4/16/2022,9:00:01 AM,USA,Texas,Outdoor,McKinney - 5K Race,5,467,0:31:03,158
Walking,4/16/2022,8:48:07 AM,USA,Texas,Outdoor,McKinney Walking,0.87,73,0:10:09,97
Cycling,4/14/2022,12:58:08 PM,USA,Texas,Outdoor,McKinney Cycling,32.16,851,1:09:54,155
Running,4/13/2022,11:17:05 AM,USA,Texas,Outdoor,McKinney - Pre-Race Workout,3.66,354,0:30:00,137
Running,4/12/2022,12:49:43 PM,USA,Texas,Outdoor,McKinney - Pre-Race Workout,3.99,371,0:32:00,133
Running,4/11/2022,3:24:54 PM,USA,Texas,Outdoor,McKinney - Pre-Race Workout,3.43,335,0:28:59,143
Cycling,4/10/2022,8:17:20 AM,USA,Texas,Outdoor,McKinney Cycling,52.55,"1,426",2:03:31,157
Running,4/8/2022,12:51:51 PM,USA,Texas,Outdoor,McKinney - Easy Run,4.99,495,0:39:01,153
Running,4/6/2022,10:31:53 AM,USA,Texas,Outdoor,McKinney - Long Easy Run,4.58,439,0:39:13,130
Running,4/4/2022,2:25:59 PM,USA,Texas,Outdoor,McKinney - Tempo Run,3.75,360,0:30:05,139
Cycling,4/3/2022,7:46:13 AM,USA,Texas,Outdoor,McKinney Cycling,35.45,834,1:28:05,140
Cycling,4/2/2022,7:48:22 AM,USA,Texas,Outdoor,McKinney Cycling,39.1,"1,055",1:27:05,157
Yoga,4/1/2022,8:59:49 PM,USA,Texas,Indoor,Yoga,--,198,1:07:52,82
Running,4/1/2022,11:38:05 AM,USA,Texas,Outdoor,McKinney - Easy Run,5.38,528,0:43:09,147
Cycling,3/31/2022,10:18:40 AM,USA,Texas,Indoor,Indoor Cycling,16.24,475,0:44:29,132
Running,3/30/2022,12:08:20 PM,USA,Texas,Outdoor,McKinney - Time Trial,4.29,438,0:32:16,157
Cycling,3/29/2022,2:37:45 PM,USA,Texas,Indoor,Indoor Cycling,12.96,339,0:30:08,132
Running,3/27/2022,9:15:54 AM,USA,Texas,Outdoor,McKinney - Goal Pace Repeats,6.04,582,0:45:47,149
Running,3/23/2022,11:49:25 AM,USA,Texas,Outdoor,McKinney - Long Easy Run,7.02,692,0:53:40,147
Running,3/22/2022,3:09:02 PM,USA,Texas,Outdoor,McKinney - Easy Run,3.82,364,0:30:03,134
Cycling,3/21/2022,3:35:20 PM,USA,Texas,Indoor,Indoor Cycling,7.77,196,0:18:43,129
Cycling,3/21/2022,1:58:23 PM,USA,Texas,Indoor,Indoor Cycling,2.18,55,07:34.9,109
Walking,3/20/2022,5:10:33 PM,USA,Texas,Outdoor,Dallas Walking,0.71,102,0:17:59,102
Running,3/20/2022,8:33:48 AM,USA,Texas,Outdoor,McKinney - Goal Pace Repeats,9.48,901,1:15:52,145
Running,3/18/2022,1:45:40 PM,USA,Texas,Outdoor,McKinney - Easy Run,5.09,501,0:40:00,148
Running,3/16/2022,12:20:34 PM,USA,Texas,Outdoor,McKinney - Long Easy Run,7.11,681,1:01:30,136
Running,3/15/2022,12:48:43 PM,USA,Texas,Outdoor,McKinney - Easy Run,3.74,360,0:30:12,140
Running,3/13/2022,1:10:54 PM,USA,Texas,Outdoor,McKinney - Goal Pace Repeats,5.98,571,0:48:15,134
Cycling,3/12/2022,11:54:04 AM,USA,Texas,Outdoor,Collin County Cycling,18.97,448,0:57:21,125
Running,3/11/2022,3:47:12 PM,USA,Texas,Outdoor,McKinney - Easy Run,3.95,375,0:30:03,145
Running,3/9/2022,1:10:41 PM,USA,Texas,Outdoor,McKinney - Long Easy Run,6.36,621,0:52:09,147
Running,3/8/2022,3:43:01 PM,USA,Texas,Outdoor,McKinney - Easy Run,4.93,485,0:40:00,139
Walking,3/8/2022,3:37:31 PM,USA,Texas,Outdoor,McKinney Walking,0.52,47,05:12.0,94
Running,3/4/2022,4:37:45 PM,USA,Texas,Outdoor,McKinney - Easy Run,3.44,330,0:30:34,134
Running,3/2/2022,4:23:51 PM,USA,Texas,Outdoor,McKinney - Time Trial,3.92,327,0:35:51,129
Cycling,3/1/2022,6:39:38 PM,USA,Texas,Outdoor,Frisco Cycling,44.1,947,1:34:10,146
Running,3/1/2022,10:10:38 AM,USA,Texas,Outdoor,McKinney - Easy Run,5.27,537,0:39:35,154
Walking,3/1/2022,10:00:13 AM,USA,Texas,Outdoor,McKinney Walking,1,61,0:10:02,85
Running,2/27/2022,12:10:50 PM,USA,Texas,Outdoor,McKinney - Stride Repeats,3.56,318,0:28:34,131
Running,2/25/2022,3:12:59 PM,USA,Texas,Outdoor,McKinney - Easy Run,4.37,430,0:35:24,148
Running,2/22/2022,9:48:25 AM,USA,Texas,Outdoor,McKinney - Easy Run,3.7,360,0:30:02,145
Running,2/21/2022,2:36:13 PM,USA,Texas,Outdoor,McKinney - Goal Pace Repeats,6.14,587,0:53:28,139
Cycling,2/19/2022,11:59:27 AM,USA,Arkansas,Outdoor,Bentonville Cycling,6.02,300,0:50:16,106
Cycling,2/18/2022,3:28:06 PM,USA,Arkansas,Outdoor,Bentonville Cycling,0.5,35,05:58.5,100
Running,2/17/2022,1:21:09 PM,USA,Texas,Outdoor,McKinney - Long Easy Run,5.84,578,0:46:56,152
Running,2/15/2022,11:19:20 AM,USA,Texas,Outdoor,McKinney - Easy Run,3.9,384,0:33:03,148
Breathwork,2/14/2022,6:10:27 AM,USA,Texas,Indoor,Coherence,--,--,0:15:34,63
Running,2/13/2022,1:40:40 PM,USA,Texas,Outdoor,McKinney - Steady State Run,4.33,415,0:35:00,149
Walking,2/13/2022,1:29:59 PM,USA,Texas,Outdoor,McKinney Walking,0.95,82,0:10:02,97
Running,2/11/2022,3:11:08 PM,USA,Texas,Outdoor,McKinney - Easy Run,4.03,392,0:33:56,144
Walking,2/11/2022,9:51:07 AM,USA,Texas,Outdoor,McKinney Walking,0.72,79,0:13:47,88
Running,2/9/2022,2:25:05 PM,USA,Texas,Outdoor,McKinney - Long Easy Run,5.88,593,0:50:41,154
Walking,2/8/2022,3:39:41 PM,USA,Texas,Outdoor,McKinney Walking,1.25,109,0:15:01,114
Running,2/8/2022,3:04:10 PM,USA,Texas,Outdoor,McKinney - Easy Run,3.58,321,0:31:30,132
Walking,2/7/2022,1:49:55 PM,USA,Texas,Outdoor,McKinney Walking,3.39,294,0:33:02,114
Running,2/6/2022,2:17:18 PM,USA,Texas,Outdoor,McKinney - Steady State Run,4.01,385,0:35:00,145
Running,2/1/2022,7:33:09 AM,USA,Texas,Outdoor,Allen - Easy Run,3.43,310,0:30:04,132
Walking,1/31/2022,11:26:17 AM,USA,Texas,Outdoor,McKinney Walking,2.83,325,0:57:36,105
Running,1/31/2022,11:15:22 AM,USA,Texas,Outdoor,McKinney - Benchmark Run,1.32,108,0:09:00,132
Walking,1/26/2022,11:24:25 AM,USA,Texas,Outdoor,McKinney Walking,3.37,283,0:32:07,120
Running,1/21/2022,3:40:03 PM,USA,Texas,Outdoor,McKinney Running,5.51,497,0:44:07,140
Running,1/19/2022,4:24:11 PM,USA,Texas,Outdoor,McKinney Running,3.87,330,0:30:25,132
Walking,1/18/2022,2:32:55 PM,USA,Texas,Outdoor,McKinney Walking,3.4,288,0:33:54,124
Walking,1/17/2022,2:23:20 PM,USA,Texas,Outdoor,McKinney Walking,3.93,338,0:37:58,116
Running,1/16/2022,11:02:02 AM,USA,Texas,Outdoor,McKinney Running,3.38,289,0:28:11,126
Breathwork,1/15/2022,7:27:00 PM,USA,Texas,Indoor,Coherence,--,--,0:15:34,79
Breathwork,1/15/2022,7:26:38 PM,USA,Texas,Indoor,Coherence,--,--,00:06.0,78
Walking,1/14/2022,11:58:16 AM,USA,Texas,Outdoor,Prosper Walking,0.68,58,09:10.5,105
Walking,1/12/2022,12:27:31 PM,USA,Texas,Outdoor,McKinney Walking,3.77,323,0:39:13,121
Running,1/6/2022,3:21:38 PM,Brazil,Sao_Paulo,Outdoor,Taubate - Run Walk Run®,3.01,269,0:26:16,134
Walking,1/5/2022,7:54:00 AM,Brazil,Sao_Paulo,Outdoor,Taubate Walking,3.87,332,0:38:20,122
Running,1/3/2022,5:12:41 PM,Brazil,Sao_Paulo,Outdoor,Taubate - Benchmark Run,1.24,101,0:09:00,134
Breathwork,1/1/2022,8:02:50 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,95
Breathwork,12/31/2021,10:53:20 PM,USA,Texas,Indoor,Tranquility,--,--,0:11:03,78
Running,12/30/2021,8:43:10 AM,Brazil,Sao_Paulo,Outdoor,Taubate Running,5.02,542,0:43:10,153
Walking,12/18/2021,11:21:20 AM,Brazil,Sao_Paulo,Outdoor,Taubate Walking,1.28,113,0:19:57,92
Walking,12/15/2021,11:19:24 AM,Brazil,Sao_Paulo,Outdoor,Ubatuba Walking,1.31,110,0:15:03,118
Running,12/15/2021,11:16:21 AM,Brazil,Sao_Paulo,Outdoor,Ubatuba Running,0.35,31,02:47.3,142
Pool Swim,12/15/2021,10:56:36 AM,USA,Texas,Indoor,Pool Swimming,150,41,04:49.3,111
Walking,12/15/2021,10:10:04 AM,Brazil,Sao_Paulo,Outdoor,Ubatuba Walking,0.22,30,06:10.3,91
